id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
1082598,Indore,10-04-2017,Axar Patel,Holkar Cricket Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8,,Anil Chaudhary,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
1082599,Pune,11-04-2017,Sanju Samson,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Delhi Capitals,runs,97,,Anil Dandekar,Sundaram Ravi,0,0,0,0,Rising Pune Supergiant
1082600,Mumbai,12-04-2017,Jasprit Bumrah,Wankhede Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,wickets,4,,Nitin Menon,C. K. Nandan,0,0,0,0,Mumbai Indians
1082601,Kolkata,13-04-2017,Sunil Narine,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8,,Abhijit Deshmukh,Nigel Llong,0,0,0,0,Kolkata Knight Riders
1082602,Bangalore,14-04-2017,Kieron Pollard,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4,,K. N. Ananthapadmanabhan,Anil Chaudhary,0,0,0,0,Royal Challengers Bangalore
1082603,Rajkot,14-04-2017,Andrew Tye,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,wickets,7,,Nand Kishore,Sundaram Ravi,0,0,0,0,Gujarat Lions
1082604,Kolkata,15-04-2017,Robin Uthappa,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,17,,Anil Dandekar,Nigel Llong,0,0,0,0,Kolkata Knight Riders
1082605,Delhi,15-04-2017,Corey Anderson,Arun Jaitley Stadium,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Delhi Capitals,runs,51,,Yeshwant Barde,Nitin Menon,0,0,0,0,Delhi Capitals
1082606,Mumbai,16-04-2017,Nitish Rana,Wankhede Stadium,0,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,wickets,6,,Nand Kishore,Sundaram Ravi,0,0,0,0,Mumbai Indians
1082607,Bangalore,16-04-2017,Ben Stokes,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,runs,27,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082608,Delhi,17-04-2017,Nathan Coulter-Nile,Arun Jaitley Stadium,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,4,,Nitin Menon,C. K. Nandan,0,0,0,0,Delhi Capitals
1082609,Hyderabad,17-04-2017,Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,5,,Anil Dandekar,Abhijit Deshmukh,0,0,0,0,Sunrisers Hyderabad
1082610,Rajkot,18-04-2017,Chris Gayle,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,runs,21,,Sundaram Ravi,Virender Sharma,0,0,0,0,Gujarat Lions
1082611,Hyderabad,19-04-2017,Kane Williamson,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,15,,Chris Gaffaney,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1082612,Indore,20-04-2017,Jos Buttler,Holkar Cricket Stadium,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,,Marais Erasmus,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
1082613,Kolkata,21-04-2017,Suresh Raina,Eden Gardens,0,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,4,,Chris Gaffaney,Nitin Menon,0,0,0,0,Kolkata Knight Riders
1082614,Mumbai,22-04-2017,Mitchell McClenaghan,Wankhede Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,14,,Nand Kishore,Sundaram Ravi,0,0,0,0,Mumbai Indians
