id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
1178420,Jaipur,27-04-2019,Jaydev Unadkat,Sawai Mansingh Stadium,0,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,wickets,7,,Yeshwant Barde,Nand Kishore,0,0,0,0,Rajasthan Royals
1178421,Delhi,28-04-2019,Shikhar Dhawan,Arun Jaitley Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,runs,16,,K. N. Ananthapadmanabhan,Bruce Oxenford,0,0,0,0,Delhi Capitals
1178422,Kolkata,28-04-2019,Andre Russell,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,34,,Ian Gould,Nitin Menon,0,0,0,0,Kolkata Knight Riders
1178423,Hyderabad,29-04-2019,David Warner,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,45,,C. K. Nandan,Sundaram Ravi,0,0,0,0,Sunrisers Hyderabad
1178424,Bangalore,30-04-2019,,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,no result,no result,,Ulhas Gandhe,Nigel Llong,0,0,0,0,Royal Challengers Bangalore
1178425,Chennai,01-05-2019,Mahendra Singh Dhoni,MA Chidambaram Stadium,0,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,80,,Anil Dandekar,Nitin Menon,0,0,0,0,Chennai Super Kings
1178426,Mumbai,02-05-2019,Jasprit Bumrah,Wankhede Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,tie,,,C. K. Nandan,Sundaram Ravi,0,0,0,0,Mumbai Indians
1178427,Chandigarh,03-05-2019,Shubman Gill,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,,Chettithody Shamshuddin,Bruce Oxenford,0,0,0,0,Kings XI Punjab
1178428,Delhi,04-05-2019,Amit Mishra,Arun Jaitley Stadium,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,5,,Anil Dandekar,Ian Gould,0,0,0,0,Delhi Capitals
1178429,Bangalore,04-05-2019,Shimron Hetmyer,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4,,Nigel Llong,Anil Chaudhary,0,0,0,0,Royal Challengers Bangalore
1178430,Chandigarh,05-05-2019,KL Rahul,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,wickets,6,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
1178431,Mumbai,05-05-2019,Hardik Pandya,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,9,,Nand Kishore,C. K. Nandan,0,0,0,0,Mumbai Indians
1181764,Chennai,07-05-2019,Suryakumar Yadav,MA Chidambaram Stadium,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,wickets,6,,Nigel Llong,Nitin Menon,1,0,1,0,Chennai Super Kings
1181766,Visakhapatnam,08-05-2019,Rishabh Pant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,2,,Bruce Oxenford,Sundaram Ravi,1,1,0,0,
1181767,Visakhapatnam,10-05-2019,Faf du Plessis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,wickets,6,,Bruce Oxenford,Sundaram Ravi,1,0,1,0,
1181768,Hyderabad,12-05-2019,Jasprit Bumrah,Rajiv Gandhi International Stadium,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,1,,Ian Gould,Nitin Menon,1,0,0,1,
1216492,Abu Dhabi,19-09-2020,Ambati Rayudu,Sheikh Zayed Stadium,1,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,,Chris Gaffaney,Virender Sharma,0,0,0,0,
1216493,Dubai,20-09-2020,Marcus Stoinis,Dubai International Cricket Stadium,1,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,tie,,,Anil Chaudhary,Nitin Menon,0,0,0,0,
1216494,Abu Dhabi,21-10-2020,Mohammed Siraj,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,8,,Virender Sharma,Sundaram Ravi,0,0,0,0,
1216495,Sharjah,03-11-2020,Shahbaz Nadeem,Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10,,Chettithody Shamshuddin,Richard Illingworth,0,0,0,0,
1216496,Sharjah,22-09-2020,Sanju Samson,Sharjah Cricket Stadium,1,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,16,,Chettithody Shamshuddin,Vineet Kulkarni,0,0,0,0,
1216497,Abu Dhabi,24-10-2020,Varun Chakravarthy,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59,,Chris Gaffaney,Pashchim Pathak,0,0,0,0,
1216498,Dubai,24-10-2020,Chris Jordan,Dubai International Cricket Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,runs,12,,Anil Dandekar,Paul Reiffel,0,0,0,0,
1216499,Abu Dhabi,28-10-2020,Suryakumar Yadav,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5,,Ulhas Gandhe,Chris Gaffaney,0,0,0,0,
1216500,Sharjah,09-10-2020,Ravichandran Ashwin,Sharjah Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,46,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,
1216501,Abu Dhabi,07-10-2020,Rahul Tripathi,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,10,,K. N. Ananthapadmanabhan,Richard Illingworth,0,0,0,0,
1216502,Sharjah,31-10-2020,Sandeep Sharma,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,,K. N. Ananthapadmanabhan,Krishnamachari Srinivasan,0,0,0,0,
1216503,Abu Dhabi,01-10-2020,Kieron Pollard,Sheikh Zayed Stadium,1,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,48,,Virender Sharma,Sundaram Ravi,0,0,0,0,
1216504,Dubai,30-09-2020,Shivam Mavi,Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,
1216505,Abu Dhabi,02-11-2020,Anrich Nortje,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,,Chris Gaffaney,Sundaram Ravi,0,0,0,0,
1216506,Abu Dhabi,01-11-2020,Ruturaj Gaikwad,Sheikh Zayed Stadium,1,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9,,Pashchim Pathak,Virender Sharma,0,0,0,0,
1216507,Dubai,11-10-2020,Rahul Tewatia,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,5,,Yeshwant Barde,Paul Reiffel,0,0,0,0,
1216508,Abu Dhabi,23-09-2020,Rohit Sharma,Sheikh Zayed Stadium,1,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,49,,Chris Gaffaney,Sundaram Ravi,0,0,0,0,
1216509,Sharjah,17-10-2020,Shikhar Dhawan,Sharjah Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,5,,K. N. Ananthapadmanabhan,Richard Illingworth,0,0,0,0,
1216510,Dubai,24-09-2020,KL Rahul,Dubai International Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,97,,Anil Chaudhary,Paul Reiffel,0,0,0,0,
1216511,Abu Dhabi,06-10-2020,Suryakumar Yadav,Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,57,,Virender Sharma,Sundaram Ravi,0,0,0,0,
1216512,Abu Dhabi,18-10-2020,Lockie Ferguson,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,,,Pashchim Pathak,Sundaram Ravi,0,0,0,0,
1216513,Dubai,04-10-2020,Shane Watson,Dubai International Cricket Stadium,1,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,10,,Anil Dandekar,Nitin Menon,0,0,0,0,
1216514,Abu Dhabi,03-10-2020,Yuzvendra Chahal,Sheikh Zayed Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,8,,Chris Gaffaney,Sundaram Ravi,0,0,0,0,
1216515,Sharjah,03-10-2020,Shreyas Iyer,Sharjah Cricket Stadium,1,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,18,,Vineet Kulkarni,Richard Illingworth,0,0,0,0,
1216516,Dubai,02-10-2020,Priyam Garg,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,7,,Anil Chaudhary,Paul Reiffel,0,0,0,0,
1216517,Dubai,18-10-2020,KL Rahul,Dubai International Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,,,Nitin Menon,Paul Reiffel,0,0,0,0,
1216518,Dubai,22-10-2020,Manish Pandey,Dubai International Cricket Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,,Nitin Menon,Paul Reiffel,0,0,0,0,
1216519,Dubai,05-10-2020,Axar Patel,Dubai International Cricket Stadium,1,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,59,,Nitin Menon,Yeshwant Barde,0,0,0,0,
1216520,Sharjah,26-10-2020,Chris Gayle,Sharjah Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8,,K. N. Ananthapadmanabhan,Richard Illingworth,0,0,0,0,
1216521,Sharjah,23-10-2020,Trent Boult,Sharjah Cricket Stadium,1,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,10,,Chettithody Shamshuddin,Vineet Kulkarni,0,0,0,0,
1216522,Dubai,17-10-2020,AB de Villiers,Dubai International Cricket Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,7,,Anil Chaudhary,Nitin Menon,0,0,0,0,
1216523,Abu Dhabi,10-10-2020,Dinesh Karthik,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,2,,Ulhas Gandhe,Chris Gaffaney,0,0,0,0,
1216524,Dubai,27-10-2020,Wriddhiman Saha,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88,,Anil Chaudhary,Nitin Menon,0,0,0,0,
1216525,Dubai,10-10-2020,Virat Kohli,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,37,,Anil Chaudhary,Paul Reiffel,0,0,0,0,
1216526,Abu Dhabi,16-10-2020,Quinton de Kock,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,8,,Chris Gaffaney,Virender Sharma,0,0,0,0,
1216527,Sharjah,27-09-2020,Sanju Samson,Sharjah Cricket Stadium,1,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4,,Richard Illingworth,Krishnamachari Srinivasan,0,0,0,0,
1216528,Dubai,13-10-2020,Ravindra Jadeja,Dubai International Cricket Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,20,,Anil Chaudhary,Paul Reiffel,0,0,0,0,
1216529,Abu Dhabi,11-10-2020,Quinton de Kock,Sheikh Zayed Stadium,1,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5,,Chris Gaffaney,Sundaram Ravi,0,0,0,0,
1216530,Dubai,01-11-2020,Pat Cummins,Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60,,Nitin Menon,Paul Reiffel,0,0,0,0,
1216531,Sharjah,15-10-2020,KL Rahul,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,
1216532,Abu Dhabi,29-09-2020,Rashid Khan,Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,15,,Virender Sharma,Sundaram Ravi,0,0,0,0,
1216533,Abu Dhabi,19-10-2020,Jos Buttler,Sheikh Zayed Stadium,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,7,,Chris Gaffaney,Virender Sharma,0,0,0,0,
1216534,Dubai,21-09-2020,Yuzvendra Chahal,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,10,,Anil Dandekar,Nitin Menon,0,0,0,0,
1216535,Dubai,31-10-2020,Ishan Kishan,Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9,,Yeshwant Barde,Paul Reiffel,0,0,0,0,
1216536,Dubai,29-10-2020,Ruturaj Gaikwad,Dubai International Cricket Stadium,1,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,,Chettithody Shamshuddin,Richard Illingworth,0,0,0,0,
1216537,Abu Dhabi,30-10-2020,Ben Stokes,Sheikh Zayed Stadium,1,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,,Chris Gaffaney,Sundaram Ravi,0,0,0,0,
1216538,Sharjah,04-10-2020,Trent Boult,Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,34,,K. N. Ananthapadmanabhan,Richard Illingworth,0,0,0,0,
1216539,Dubai,25-09-2020,Prithvi Shaw,Dubai International Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,44,,K. N. Ananthapadmanabhan,Richard Illingworth,0,0,0,0,
1216540,Sharjah,12-10-2020,AB de Villiers,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,82,,Richard Illingworth,Krishnamachari Srinivasan,0,0,0,0,
1216541,Abu Dhabi,25-10-2020,Ben Stokes,Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8,,Ulhas Gandhe,Virender Sharma,0,0,0,0,
1216542,Dubai,08-10-2020,Jonny Bairstow,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69,,Anil Chaudhary,Nitin Menon,0,0,0,0,
1216543,Dubai,14-10-2020,Anrich Nortje,Dubai International Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,13,,Anil Chaudhary,Nitin Menon,0,0,0,0,
1216544,Dubai,25-10-2020,Ruturaj Gaikwad,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8,,Chettithody Shamshuddin,Richard Illingworth,0,0,0,0,
1216545,Abu Dhabi,26-09-2020,Shubman Gill,Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7,,Chris Gaffaney,Virender Sharma,0,0,0,0,
1216546,Dubai,20-10-2020,Shikhar Dhawan,Dubai International Cricket Stadium,1,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5,,Chettithody Shamshuddin,Richard Illingworth,0,0,0,0,
1216547,Dubai,28-09-2020,AB de Villiers,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,,,Nitin Menon,Paul Reiffel,0,0,0,0,
1237177,Dubai,05-11-2020,Jasprit Bumrah,Dubai International Cricket Stadium,1,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57,,Chris Gaffaney,Nitin Menon,1,0,1,0,
1237178,Abu Dhabi,06-11-2020,Kane Williamson,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6,,Paul Reiffel,Sundaram Ravi,1,1,0,0,
1237180,Abu Dhabi,08-11-2020,Marcus Stoinis,Sheikh Zayed Stadium,1,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17,,Paul Reiffel,Sundaram Ravi,1,0,1,0,
1237181,Dubai,10-11-2020,Trent Boult,Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5,,Chris Gaffaney,Nitin Menon,1,0,0,1,
